,info,symbol,fundingRate,timestamp,datetime,LPT/USDTfundingRate,DOT/USDTfundingRate,BCH/USDTfundingRate,ZIL/USDTfundingRate,TLM/USDTfundingRate,KNC/USDTfundingRate,DGB/USDTfundingRate,STMX/USDTfundingRate,SUSHI/USDTfundingRate,HBAR/USDTfundingRate,PEOPLE/USDTfundingRate,CELR/USDTfundingRate,APE/USDTfundingRate,BNB/USDTfundingRate,BLZ/USDTfundingRate,MATIC/USDTfundingRate,SC/USDTfundingRate,THETA/USDTfundingRate,XRP/USDTfundingRate,UNFI/USDTfundingRate,XMR/USDTfundingRate,CRV/USDTfundingRate,1INCH/USDTfundingRate,STORJ/USDTfundingRate,OCEAN/USDTfundingRate,CTK/USDTfundingRate,YFI/USDTfundingRate,TRB/USDTfundingRate,EOS/USDTfundingRate,1000XEC/USDTfundingRate,BAKE/USDTfundingRate,ENJ/USDTfundingRate,LIT/USDTfundingRate,XTZ/USDTfundingRate,ZEC/USDTfundingRate,ANC/USDTfundingRate,LTC/USDTfundingRate,MTL/USDTfundingRate,AXS/USDTfundingRate,SRM/USDTfundingRate,BTCDOM/USDTfundingRate,AUDIO/USDTfundingRate,BAT/USDTfundingRate,MASK/USDTfundingRate,ADA/USDTfundingRate,GTC/USDTfundingRate,AAVE/USDTfundingRate,SKL/USDTfundingRate,NKN/USDTfundingRate,COMP/USDTfundingRate,NEO/USDTfundingRate,BTC/USDTfundingRate,ANT/USDTfundingRate,KAVA/USDTfundingRate,COTI/USDTfundingRate,FLOW/USDTfundingRate,ONT/USDTfundingRate,VET/USDTfundingRate,ALGO/USDTfundingRate,ENS/USDTfundingRate,ZEN/USDTfundingRate,OGN/USDTfundingRate,ETH/USDTfundingRate,RUNE/USDTfundingRate,IMX/USDTfundingRate,WAVES/USDTfundingRate,AVAX/USDTfundingRate,GRT/USDTfundingRate,DYDX/USDTfundingRate,DENT/USDTfundingRate,TOMO/USDTfundingRate,C98/USDTfundingRate,MANA/USDTfundingRate,FLM/USDTfundingRate,WOO/USDTfundingRate,REEF/USDTfundingRate,SAND/USDTfundingRate,KSM/USDTfundingRate,CHR/USDTfundingRate,REN/USDTfundingRate,API3/USDTfundingRate,FIL/USDTfundingRate,SOL/USDTfundingRate,BEL/USDTfundingRate,CVC/USDTfundingRate,CELO/USDTfundingRate,DEFI/USDTfundingRate,ETC/USDTfundingRate,LRC/USDTfundingRate,BNX/USDTfundingRate,RSR/USDTfundingRate,ONE/USDTfundingRate,LINA/USDTfundingRate,KLAY/USDTfundingRate,BAL/USDTfundingRate,ICX/USDTfundingRate,BTCSTUSDTfundingRate,QTUM/USDTfundingRate,IOTX/USDTfundingRate,LINK/USDTfundingRate,DUSK/USDTfundingRate,ARPA/USDTfundingRate,ROSE/USDTfundingRate,SNX/USDTfundingRate,BTS/USDTfundingRate,RVN/USDTfundingRate,ALPHA/USDTfundingRate,OMG/USDTfundingRate,CTSI/USDTfundingRate,DODO/USDTfundingRate,RAY/USDTfundingRate,TRX/USDTfundingRate,IOST/USDTfundingRate,ALICE/USDTfundingRate,XEM/USDTfundingRate,IOTA/USDTfundingRate,MKR/USDTfundingRate,LUNA/USDTfundingRate,ANKR/USDTfundingRate,SXP/USDTfundingRate,CHZ/USDTfundingRate,GALA/USDTfundingRate,1000SHIB/USDTfundingRate,ZRX/USDTfundingRate,XLM/USDTfundingRate,ATOM/USDTfundingRate,BAND/USDTfundingRate,RLC/USDTfundingRate,UNI/USDTfundingRate,FTM/USDTfundingRate,SFP/USDTfundingRate,ICP/USDTfundingRate,HOT/USDTfundingRate,EGLD/USDTfundingRate,DASH/USDTfundingRate,DOGE/USDTfundingRate,NEAR/USDTfundingRate,AR/USDTfundingRate,HNT/USDTfundingRate,ATA/USDTfundingRate,GMT/USDTfundingRate,AKRO/USDTfundingRate
2022-03-14T08:00:00.005Z,,,,,,0.0001,-0.00021547,0.0001,0.0001,0.0001,-0.00020589,-0.00020329,0.0001,-2.621e-05,0.0001,0.0001,3.47e-05,0.0001,0.0,2.375e-05,-0.00021853,4.029e-05,0.0001,-1.247e-05,0.0001,0.0001,-0.00021631,-0.0001288,-1.796e-05,0.0001,8.695e-05,1.408e-05,9.92e-06,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,-3.929e-05,-0.0075,-0.00036439,0.0001,0.0001,0.0001,-1.828e-05,0.0001,-9.838e-05,0.0001,0.0001,0.0001,-7.581e-05,4.925e-05,0.0001,-1.692e-05,0.0001,-7.579e-05,2.032e-05,2.904e-05,0.0001,0.0001,0.0001,0.0001,0.0001,-0.00012202,-2.262e-05,0.0001,2.859e-05,-0.00031361,5.465e-05,0.0001,5.503e-05,8.594e-05,0.0001,-0.0002622,0.0001,-0.00034937,0.0001,-0.00045847,-0.0001916,-4.518e-05,0.0001,0.0001,0.0001,8.669e-05,3.38e-06,0.0001,1.363e-05,0.0001,0.0001,-0.00011724,0.0001,-0.0004098,0.0001,0.0001,0.0001,-8.34e-06,9.874e-05,7.78e-06,0.0001,-0.00043666,0.0001,0.0001,-7.794e-05,7.958e-05,8.802e-05,-0.00025384,0.0001,0.0001,0.0001,0.0001,-7.39e-05,0.0001,-0.00015525,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,-0.000297,0.0001,0.0001,0.0001,7.518e-05,0.0001,-3.193e-05,-5.8e-05,-5.807e-05,-9.443e-05,0.0001,-1.85e-05,0.0001,0.0001,0.0001,0.0001,3.706e-05,0.0001,-7.896e-05,0.0001,0.0001,0.0001,-0.00015446,-3.205e-05
2022-03-14T16:00:00.002Z,,,,,,0.0001,-0.00021547,0.0001,0.0001,0.0001,-0.00020589,-0.00020329,0.0001,-2.621e-05,0.0001,0.0001,3.47e-05,0.0001,0.0,2.375e-05,-0.00021853,4.029e-05,0.0001,-1.247e-05,0.0001,0.0001,-0.00021631,-0.0001288,-1.796e-05,0.0001,8.695e-05,1.408e-05,9.92e-06,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,-3.929e-05,-0.0075,-0.00036439,0.0001,0.0001,0.0001,-1.828e-05,0.0001,-9.838e-05,0.0001,0.0001,0.0001,-7.581e-05,4.925e-05,0.0001,-1.692e-05,0.0001,-7.579e-05,2.032e-05,2.904e-05,0.0001,0.0001,0.0001,0.0001,0.0001,-0.00012202,-2.262e-05,0.0001,2.859e-05,-0.00031361,5.465e-05,0.0001,5.503e-05,8.594e-05,0.0001,-0.0002622,0.0001,-0.00034937,0.0001,-0.00045847,-0.0001916,-4.518e-05,0.0001,0.0001,0.0001,8.669e-05,3.38e-06,0.0001,1.363e-05,0.0001,0.0001,-0.00011724,0.0001,-0.0004098,0.0001,0.0001,0.0001,-8.34e-06,9.874e-05,7.78e-06,0.0001,-0.00043666,0.0001,0.0001,-7.794e-05,7.958e-05,8.802e-05,-0.00025384,0.0001,0.0001,0.0001,0.0001,-7.39e-05,0.0001,-0.00015525,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,-0.000297,0.0001,0.0001,0.0001,7.518e-05,0.0001,-3.193e-05,-5.8e-05,-5.807e-05,-9.443e-05,0.0001,-1.85e-05,0.0001,0.0001,0.0001,0.0001,3.706e-05,0.0001,-7.896e-05,0.0001,0.0001,0.0001,-0.00015446,-3.205e-05
2022-03-15T00:00:00.008Z,,,,,,0.0001,-0.00021547,0.0001,0.0001,0.0001,-0.00020589,-0.00020329,0.0001,-2.621e-05,0.0001,0.0001,3.47e-05,0.0001,0.0,2.375e-05,-0.00021853,4.029e-05,0.0001,-1.247e-05,0.0001,0.0001,-0.00021631,-0.0001288,-1.796e-05,0.0001,8.695e-05,1.408e-05,9.92e-06,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,-3.929e-05,-0.0075,-0.00036439,0.0001,0.0001,0.0001,-1.828e-05,0.0001,-9.838e-05,0.0001,0.0001,0.0001,-7.581e-05,4.925e-05,0.0001,-1.692e-05,0.0001,-7.579e-05,2.032e-05,2.904e-05,0.0001,0.0001,0.0001,0.0001,0.0001,-0.00012202,-2.262e-05,0.0001,2.859e-05,-0.00031361,5.465e-05,0.0001,5.503e-05,8.594e-05,0.0001,-0.0002622,0.0001,-0.00034937,0.0001,-0.00045847,-0.0001916,-4.518e-05,0.0001,0.0001,0.0001,8.669e-05,3.38e-06,0.0001,1.363e-05,0.0001,0.0001,-0.00011724,0.0001,-0.0004098,0.0001,0.0001,0.0001,-8.34e-06,9.874e-05,7.78e-06,0.0001,-0.00043666,0.0001,0.0001,-7.794e-05,7.958e-05,8.802e-05,-0.00025384,0.0001,0.0001,0.0001,0.0001,-7.39e-05,0.0001,-0.00015525,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,-0.000297,0.0001,0.0001,0.0001,7.518e-05,0.0001,-3.193e-05,-5.8e-05,-5.807e-05,-9.443e-05,0.0001,-1.85e-05,0.0001,0.0001,0.0001,0.0001,3.706e-05,0.0001,-7.896e-05,0.0001,0.0001,0.0001,-0.00015446,-3.205e-05
2022-03-15T08:00:00.000Z,,,,,,0.0001,-0.00021547,0.0001,0.0001,0.0001,-0.00020589,-0.00020329,0.0001,-2.621e-05,0.0001,0.0001,3.47e-05,0.0001,0.0,2.375e-05,-0.00021853,4.029e-05,0.0001,-1.247e-05,0.0001,0.0001,-0.00021631,-0.0001288,-1.796e-05,0.0001,8.695e-05,1.408e-05,9.92e-06,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,-3.929e-05,-0.0075,-0.00036439,0.0001,0.0001,0.0001,-1.828e-05,0.0001,-9.838e-05,0.0001,0.0001,0.0001,-7.581e-05,4.925e-05,0.0001,-1.692e-05,0.0001,-7.579e-05,2.032e-05,2.904e-05,0.0001,0.0001,0.0001,0.0001,0.0001,-0.00012202,-2.262e-05,0.0001,2.859e-05,-0.00031361,5.465e-05,0.0001,5.503e-05,8.594e-05,0.0001,-0.0002622,0.0001,-0.00034937,0.0001,-0.00045847,-0.0001916,-4.518e-05,0.0001,0.0001,0.0001,8.669e-05,3.38e-06,0.0001,1.363e-05,0.0001,0.0001,-0.00011724,0.0001,-0.0004098,0.0001,0.0001,0.0001,-8.34e-06,9.874e-05,7.78e-06,0.0001,-0.00043666,0.0001,0.0001,-7.794e-05,7.958e-05,8.802e-05,-0.00025384,0.0001,0.0001,0.0001,0.0001,-7.39e-05,0.0001,-0.00015525,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,-0.000297,0.0001,0.0001,0.0001,7.518e-05,0.0001,-3.193e-05,-5.8e-05,-5.807e-05,-9.443e-05,0.0001,-1.85e-05,0.0001,0.0001,0.0001,0.0001,3.706e-05,0.0001,-7.896e-05,0.0001,0.0001,0.0001,-0.00015446,-3.205e-05
2022-03-15T16:00:00.006Z,,,,,,0.0001,-0.00021547,0.0001,0.0001,0.0001,-0.00020589,-0.00020329,0.0001,-2.621e-05,0.0001,0.0001,3.47e-05,0.0001,0.0,2.375e-05,-0.00021853,4.029e-05,0.0001,-1.247e-05,0.0001,0.0001,-0.00021631,-0.0001288,-1.796e-05,0.0001,8.695e-05,1.408e-05,9.92e-06,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,-3.929e-05,-0.0075,-0.00036439,0.0001,0.0001,0.0001,-1.828e-05,0.0001,-9.838e-05,0.0001,0.0001,0.0001,-7.581e-05,4.925e-05,0.0001,-1.692e-05,0.0001,-7.579e-05,2.032e-05,2.904e-05,0.0001,0.0001,0.0001,0.0001,0.0001,-0.00012202,-2.262e-05,0.0001,2.859e-05,-0.00031361,5.465e-05,0.0001,5.503e-05,8.594e-05,0.0001,-0.0002622,0.0001,-0.00034937,0.0001,-0.00045847,-0.0001916,-4.518e-05,0.0001,0.0001,0.0001,8.669e-05,3.38e-06,0.0001,1.363e-05,0.0001,0.0001,-0.00011724,0.0001,-0.0004098,0.0001,0.0001,0.0001,-8.34e-06,9.874e-05,7.78e-06,0.0001,-0.00043666,0.0001,0.0001,-7.794e-05,7.958e-05,8.802e-05,-0.00025384,0.0001,0.0001,0.0001,0.0001,-7.39e-05,0.0001,-0.00015525,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,-0.000297,0.0001,0.0001,0.0001,7.518e-05,0.0001,-3.193e-05,-5.8e-05,-5.807e-05,-9.443e-05,0.0001,-1.85e-05,0.0001,0.0001,0.0001,0.0001,3.706e-05,0.0001,-7.896e-05,0.0001,0.0001,0.0001,-0.00015446,-3.205e-05
2022-03-16T00:00:00.013Z,,,,,,0.0001,-0.00021547,0.0001,0.0001,0.0001,-0.00020589,-0.00020329,0.0001,-2.621e-05,0.0001,0.0001,3.47e-05,0.0001,0.0,2.375e-05,-0.00021853,4.029e-05,0.0001,-1.247e-05,0.0001,0.0001,-0.00021631,-0.0001288,-1.796e-05,0.0001,8.695e-05,1.408e-05,9.92e-06,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,-3.929e-05,-0.0075,-0.00036439,0.0001,0.0001,0.0001,-1.828e-05,0.0001,-9.838e-05,0.0001,0.0001,0.0001,-7.581e-05,4.925e-05,0.0001,-1.692e-05,0.0001,-7.579e-05,2.032e-05,2.904e-05,0.0001,0.0001,0.0001,0.0001,0.0001,-0.00012202,-2.262e-05,0.0001,2.859e-05,-0.00031361,5.465e-05,0.0001,5.503e-05,8.594e-05,0.0001,-0.0002622,0.0001,-0.00034937,0.0001,-0.00045847,-0.0001916,-4.518e-05,0.0001,0.0001,0.0001,8.669e-05,3.38e-06,0.0001,1.363e-05,0.0001,0.0001,-0.00011724,0.0001,-0.0004098,0.0001,0.0001,0.0001,-8.34e-06,9.874e-05,7.78e-06,0.0001,-0.00043666,0.0001,0.0001,-7.794e-05,7.958e-05,8.802e-05,-0.00025384,0.0001,0.0001,0.0001,0.0001,-7.39e-05,0.0001,-0.00015525,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,-0.000297,0.0001,0.0001,0.0001,7.518e-05,0.0001,-3.193e-05,-5.8e-05,-5.807e-05,-9.443e-05,0.0001,-1.85e-05,0.0001,0.0001,0.0001,0.0001,3.706e-05,0.0001,-7.896e-05,0.0001,0.0001,0.0001,-0.00015446,-3.205e-05
2022-03-16T08:00:00.000Z,,,,,,0.0001,-0.00021547,0.0001,0.0001,0.0001,-0.00020589,-0.00020329,0.0001,-2.621e-05,0.0001,0.0001,3.47e-05,0.0001,0.0,2.375e-05,-0.00021853,4.029e-05,0.0001,-1.247e-05,0.0001,0.0001,-0.00021631,-0.0001288,-1.796e-05,0.0001,8.695e-05,1.408e-05,9.92e-06,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,-3.929e-05,-0.0075,-0.00036439,0.0001,0.0001,0.0001,-1.828e-05,0.0001,-9.838e-05,0.0001,0.0001,0.0001,-7.581e-05,4.925e-05,0.0001,-1.692e-05,0.0001,-7.579e-05,2.032e-05,2.904e-05,0.0001,0.0001,0.0001,0.0001,0.0001,-0.00012202,-2.262e-05,0.0001,2.859e-05,-0.00031361,5.465e-05,0.0001,5.503e-05,8.594e-05,0.0001,-0.0002622,0.0001,-0.00034937,0.0001,-0.00045847,-0.0001916,-4.518e-05,0.0001,0.0001,0.0001,8.669e-05,3.38e-06,0.0001,1.363e-05,0.0001,0.0001,-0.00011724,0.0001,-0.0004098,0.0001,0.0001,0.0001,-8.34e-06,9.874e-05,7.78e-06,0.0001,-0.00043666,0.0001,0.0001,-7.794e-05,7.958e-05,8.802e-05,-0.00025384,0.0001,0.0001,0.0001,0.0001,-7.39e-05,0.0001,-0.00015525,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,-0.000297,0.0001,0.0001,0.0001,7.518e-05,0.0001,-3.193e-05,-5.8e-05,-5.807e-05,-9.443e-05,0.0001,-1.85e-05,0.0001,0.0001,0.0001,0.0001,3.706e-05,0.0001,-7.896e-05,0.0001,0.0001,0.0001,-0.00015446,-3.205e-05
2022-03-16T16:00:00.008Z,,,,,,0.0001,-0.00021547,0.0001,0.0001,0.0001,-0.00020589,-0.00020329,0.0001,-2.621e-05,0.0001,0.0001,3.47e-05,0.0001,0.0,2.375e-05,-0.00021853,4.029e-05,0.0001,-1.247e-05,0.0001,0.0001,-0.00021631,-0.0001288,-1.796e-05,0.0001,8.695e-05,1.408e-05,9.92e-06,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,-3.929e-05,-0.0075,-0.00036439,0.0001,0.0001,0.0001,-1.828e-05,0.0001,-9.838e-05,0.0001,0.0001,0.0001,-7.581e-05,4.925e-05,0.0001,-1.692e-05,0.0001,-7.579e-05,2.032e-05,2.904e-05,0.0001,0.0001,0.0001,0.0001,0.0001,-0.00012202,-2.262e-05,0.0001,2.859e-05,-0.00031361,5.465e-05,0.0001,5.503e-05,8.594e-05,0.0001,-0.0002622,0.0001,-0.00034937,0.0001,-0.00045847,-0.0001916,-4.518e-05,0.0001,0.0001,0.0001,8.669e-05,3.38e-06,0.0001,1.363e-05,0.0001,0.0001,-0.00011724,0.0001,-0.0004098,0.0001,0.0001,0.0001,-8.34e-06,9.874e-05,7.78e-06,0.0001,-0.00043666,0.0001,0.0001,-7.794e-05,7.958e-05,8.802e-05,-0.00025384,0.0001,0.0001,0.0001,0.0001,-7.39e-05,0.0001,-0.00015525,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,-0.000297,0.0001,0.0001,0.0001,7.518e-05,0.0001,-3.193e-05,-5.8e-05,-5.807e-05,-9.443e-05,0.0001,-1.85e-05,0.0001,0.0001,0.0001,0.0001,3.706e-05,0.0001,-7.896e-05,0.0001,0.0001,0.0001,-0.00015446,-3.205e-05
2022-03-17T00:00:00.004Z,,,,,,0.0001,-0.00021547,0.0001,0.0001,0.0001,-0.00020589,-0.00020329,0.0001,-2.621e-05,0.0001,0.0001,3.47e-05,0.0001,0.0,2.375e-05,-0.00021853,4.029e-05,0.0001,-1.247e-05,0.0001,0.0001,-0.00021631,-0.0001288,-1.796e-05,0.0001,8.695e-05,1.408e-05,9.92e-06,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,-3.929e-05,-0.0075,-0.00036439,0.0001,0.0001,0.0001,-1.828e-05,0.0001,-9.838e-05,0.0001,0.0001,0.0001,-7.581e-05,4.925e-05,0.0001,-1.692e-05,0.0001,-7.579e-05,2.032e-05,2.904e-05,0.0001,0.0001,0.0001,0.0001,0.0001,-0.00012202,-2.262e-05,0.0001,2.859e-05,-0.00031361,5.465e-05,0.0001,5.503e-05,8.594e-05,0.0001,-0.0002622,0.0001,-0.00034937,0.0001,-0.00045847,-0.0001916,-4.518e-05,0.0001,0.0001,0.0001,8.669e-05,3.38e-06,0.0001,1.363e-05,0.0001,0.0001,-0.00011724,0.0001,-0.0004098,0.0001,0.0001,0.0001,-8.34e-06,9.874e-05,7.78e-06,0.0001,-0.00043666,0.0001,0.0001,-7.794e-05,7.958e-05,8.802e-05,-0.00025384,0.0001,0.0001,0.0001,0.0001,-7.39e-05,0.0001,-0.00015525,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,-0.000297,0.0001,0.0001,0.0001,7.518e-05,0.0001,-3.193e-05,-5.8e-05,-5.807e-05,-9.443e-05,0.0001,-1.85e-05,0.0001,0.0001,0.0001,0.0001,3.706e-05,0.0001,-7.896e-05,0.0001,0.0001,0.0001,-0.00015446,-3.205e-05
2022-03-17T08:00:00.000Z,,,,,,0.0001,-0.00021547,0.0001,0.0001,0.0001,-0.00020589,-0.00020329,0.0001,-2.621e-05,0.0001,0.0001,3.47e-05,0.0001,0.0,2.375e-05,-0.00021853,4.029e-05,0.0001,-1.247e-05,0.0001,0.0001,-0.00021631,-0.0001288,-1.796e-05,0.0001,8.695e-05,1.408e-05,9.92e-06,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,-3.929e-05,-0.0075,-0.00036439,0.0001,0.0001,0.0001,-1.828e-05,0.0001,-9.838e-05,0.0001,0.0001,0.0001,-7.581e-05,4.925e-05,0.0001,-1.692e-05,0.0001,-7.579e-05,2.032e-05,2.904e-05,0.0001,0.0001,0.0001,0.0001,0.0001,-0.00012202,-2.262e-05,0.0001,2.859e-05,-0.00031361,5.465e-05,0.0001,5.503e-05,8.594e-05,0.0001,-0.0002622,0.0001,-0.00034937,0.0001,-0.00045847,-0.0001916,-4.518e-05,0.0001,0.0001,0.0001,8.669e-05,3.38e-06,0.0001,1.363e-05,0.0001,0.0001,-0.00011724,0.0001,-0.0004098,0.0001,0.0001,0.0001,-8.34e-06,9.874e-05,7.78e-06,0.0001,-0.00043666,0.0001,0.0001,-7.794e-05,7.958e-05,8.802e-05,-0.00025384,0.0001,0.0001,0.0001,0.0001,-7.39e-05,0.0001,-0.00015525,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,-0.000297,0.0001,0.0001,0.0001,7.518e-05,0.0001,-3.193e-05,-5.8e-05,-5.807e-05,-9.443e-05,0.0001,-1.85e-05,0.0001,0.0001,0.0001,0.0001,3.706e-05,0.0001,-7.896e-05,0.0001,0.0001,0.0001,-0.00015446,-3.205e-05
2022-03-17T16:00:00.004Z,,,,,,0.0001,-0.00021547,0.0001,0.0001,0.0001,-0.00020589,-0.00020329,0.0001,-2.621e-05,0.0001,0.0001,3.47e-05,0.0001,0.0,2.375e-05,-0.00021853,4.029e-05,0.0001,-1.247e-05,0.0001,0.0001,-0.00021631,-0.0001288,-1.796e-05,0.0001,8.695e-05,1.408e-05,9.92e-06,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,-3.929e-05,-0.0075,-0.00036439,0.0001,0.0001,0.0001,-1.828e-05,0.0001,-9.838e-05,0.0001,0.0001,0.0001,-7.581e-05,4.925e-05,0.0001,-1.692e-05,0.0001,-7.579e-05,2.032e-05,2.904e-05,0.0001,0.0001,0.0001,0.0001,0.0001,-0.00012202,-2.262e-05,0.0001,2.859e-05,-0.00031361,5.465e-05,0.0001,5.503e-05,8.594e-05,0.0001,-0.0002622,0.0001,-0.00034937,0.0001,-0.00045847,-0.0001916,-4.518e-05,0.0001,0.0001,0.0001,8.669e-05,3.38e-06,0.0001,1.363e-05,0.0001,0.0001,-0.00011724,0.0001,-0.0004098,0.0001,0.0001,0.0001,-8.34e-06,9.874e-05,7.78e-06,0.0001,-0.00043666,0.0001,0.0001,-7.794e-05,7.958e-05,8.802e-05,-0.00025384,0.0001,0.0001,0.0001,0.0001,-7.39e-05,0.0001,-0.00015525,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,-0.000297,0.0001,0.0001,0.0001,7.518e-05,0.0001,-3.193e-05,-5.8e-05,-5.807e-05,-9.443e-05,0.0001,-1.85e-05,0.0001,0.0001,0.0001,0.0001,3.706e-05,0.0001,-7.896e-05,0.0001,0.0001,0.0001,-0.00015446,-3.205e-05
2022-03-18T00:00:00.000Z,,,,,,0.0001,-0.00021547,0.0001,0.0001,0.0001,-0.00020589,-0.00020329,0.0001,-2.621e-05,0.0001,0.0001,3.47e-05,0.0001,0.0,2.375e-05,-0.00021853,4.029e-05,0.0001,-1.247e-05,0.0001,0.0001,-0.00021631,-0.0001288,-1.796e-05,0.0001,8.695e-05,1.408e-05,9.92e-06,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,-3.929e-05,-0.0075,-0.00036439,0.0001,0.0001,0.0001,-1.828e-05,0.0001,-9.838e-05,0.0001,0.0001,0.0001,-7.581e-05,4.925e-05,0.0001,-1.692e-05,0.0001,-7.579e-05,2.032e-05,2.904e-05,0.0001,0.0001,0.0001,0.0001,0.0001,-0.00012202,-2.262e-05,0.0001,2.859e-05,-0.00031361,5.465e-05,0.0001,5.503e-05,8.594e-05,0.0001,-0.0002622,0.0001,-0.00034937,0.0001,-0.00045847,-0.0001916,-4.518e-05,0.0001,0.0001,0.0001,8.669e-05,3.38e-06,0.0001,1.363e-05,0.0001,0.0001,-0.00011724,0.0001,-0.0004098,0.0001,0.0001,0.0001,-8.34e-06,9.874e-05,7.78e-06,0.0001,-0.00043666,0.0001,0.0001,-7.794e-05,7.958e-05,8.802e-05,-0.00025384,0.0001,0.0001,0.0001,0.0001,-7.39e-05,0.0001,-0.00015525,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,-0.000297,0.0001,0.0001,0.0001,7.518e-05,0.0001,-3.193e-05,-5.8e-05,-5.807e-05,-9.443e-05,0.0001,-1.85e-05,0.0001,0.0001,0.0001,0.0001,3.706e-05,0.0001,-7.896e-05,0.0001,0.0001,0.0001,-0.00015446,-3.205e-05
2022-03-18T08:00:00.000Z,,,,,,0.0001,-0.00021547,0.0001,0.0001,0.0001,-0.00020589,-0.00020329,0.0001,-2.621e-05,0.0001,0.0001,3.47e-05,0.0001,0.0,2.375e-05,-0.00021853,4.029e-05,0.0001,-1.247e-05,0.0001,0.0001,-0.00021631,-0.0001288,-1.796e-05,0.0001,8.695e-05,1.408e-05,9.92e-06,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,-3.929e-05,-0.0075,-0.00036439,0.0001,0.0001,0.0001,-1.828e-05,0.0001,-9.838e-05,0.0001,0.0001,0.0001,-7.581e-05,4.925e-05,0.0001,-1.692e-05,0.0001,-7.579e-05,2.032e-05,2.904e-05,0.0001,0.0001,0.0001,0.0001,0.0001,-0.00012202,-2.262e-05,0.0001,2.859e-05,-0.00031361,5.465e-05,0.0001,5.503e-05,8.594e-05,0.0001,-0.0002622,0.0001,-0.00034937,0.0001,-0.00045847,-0.0001916,-4.518e-05,0.0001,0.0001,0.0001,8.669e-05,3.38e-06,0.0001,1.363e-05,0.0001,0.0001,-0.00011724,0.0001,-0.0004098,0.0001,0.0001,0.0001,-8.34e-06,9.874e-05,7.78e-06,0.0001,-0.00043666,0.0001,0.0001,-7.794e-05,7.958e-05,8.802e-05,-0.00025384,0.0001,0.0001,0.0001,0.0001,-7.39e-05,0.0001,-0.00015525,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,-0.000297,0.0001,0.0001,0.0001,7.518e-05,0.0001,-3.193e-05,-5.8e-05,-5.807e-05,-9.443e-05,0.0001,-1.85e-05,0.0001,0.0001,0.0001,0.0001,3.706e-05,0.0001,-7.896e-05,0.0001,0.0001,0.0001,-0.00015446,-3.205e-05
